split,mode,no_global_routing,no_window_routing,threshold,baseline_ce,baseline_bpb,baseline_real_flops_b,method_ce,method_bpb,method_real_flops_b
val,full_router,False,False,0.0,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,full_router,False,False,0.1,0.28861328125,0.4163809495940667,112090521.6,0.345,0.49772978910669236,102349578.24000001
val,full_router,False,False,0.2,0.28861328125,0.4163809495940667,112090521.6,0.353046875,0.5093389757638457,98301665.28
val,full_router,False,False,0.3,0.28861328125,0.4163809495940667,112090521.6,0.3671484375,0.5296832300513815,91843584.0
val,full_router,False,False,0.4,0.28861328125,0.4163809495940667,112090521.6,0.384140625,0.554197774691487,83690127.36
val,full_router,False,False,0.5,0.28861328125,0.4163809495940667,112090521.6,0.409453125,0.5907159929139888,71875829.76
val,full_router,False,False,0.6,0.28861328125,0.4163809495940667,112090521.6,0.4355859375,0.62841767191222,59600486.4
val,full_router,False,False,0.7,0.28861328125,0.4163809495940667,112090521.6,0.458515625,0.6614982183576036,48936222.72
val,full_router,False,False,0.8,0.28861328125,0.4163809495940667,112090521.6,0.4687109375,0.6762069451416668,44311142.4
val,full_router,False,False,0.9,0.28861328125,0.4163809495940667,112090521.6,0.4700390625,0.6781230244928476,43696128.0
val,full_router,False,False,1.0,0.28861328125,0.4163809495940667,112090521.6,0.4700390625,0.6781230244928476,43696128.0
val,router_global_only,False,True,0.0,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,router_global_only,False,True,0.1,0.28861328125,0.4163809495940667,112090521.6,0.29556640625,0.42641218855024776,108395274.24000001
val,router_global_only,False,True,0.2,0.28861328125,0.4163809495940667,112090521.6,0.30337890625,0.4376832435571928,104347361.28
val,router_global_only,False,True,0.3,0.28861328125,0.4163809495940667,112090521.6,0.316484375,0.456590438331343,97889280.0
val,router_global_only,False,True,0.4,0.28861328125,0.4163809495940667,112090521.6,0.3326171875,0.47986516692068454,89735823.36
val,router_global_only,False,True,0.5,0.28861328125,0.4163809495940667,112090521.6,0.35609375,0.5137346872165542,77921525.76
val,router_global_only,False,True,0.6,0.28861328125,0.4163809495940667,112090521.6,0.3806640625,0.5491821552133964,65646182.4
val,router_global_only,False,True,0.7,0.28861328125,0.4163809495940667,112090521.6,0.401953125,0.5798957801073217,54981918.72
val,router_global_only,False,True,0.8,0.28861328125,0.4163809495940667,112090521.6,0.41109375,0.5930829144654473,50356838.4
val,router_global_only,False,True,0.9,0.28861328125,0.4163809495940667,112090521.6,0.4123828125,0.5949426385415932,49741824.0
val,router_global_only,False,True,1.0,0.28861328125,0.4163809495940667,112090521.6,0.4123828125,0.5949426385415932,49741824.0
val,router_window_only,True,False,0.0,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.1,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.2,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.3,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.4,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.5,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.6,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.7,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.8,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,0.9,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,router_window_only,True,False,1.0,0.28861328125,0.4163809495940667,112090521.6,0.3373828125,0.486740510474921,106044825.6
val,spacebyte_default,True,True,0.0,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.1,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.2,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.3,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.4,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.5,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.6,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.7,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.8,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,0.9,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
val,spacebyte_default,True,True,1.0,0.28861328125,0.4163809495940667,112090521.6,0.28861328125,0.4163809495940667,112090521.6
